"player_id","year","position","two_point_percentage","fg_percentage","ft_percentage","ts_percentage"
0,"1950.0","SG","0.372","0.372","0.708","0.435"
0,"1951.0","SG","0.252","0.252","0.649","0.322"
0,"1952.0","SG","0.298","0.298","0.588","0.343"
1,"1950.0","G","0.363","0.363","0.762","0.422"
1,"1951.0","G","0.368","0.368","0.775","0.435"
2,"1950.0","F-C","0.278","0.278","0.651","0.346"
2,"1950.0","F-C","0.287","0.287","0.632","0.362"
2,"1950.0","F-C","0.267","0.267","0.688","0.326"
2,"1952.0","F-C","0.194","0.194","0.417","0.234"
3,"1950.0","PG","0.323","0.323","0.626","0.396"
